name,price,category
ข้าวมาบุญครอง,170,ของกิน
ข้าวไดโนเสาร์,250,ของกิน
ข้าว หงษ์ทอง,220,ของกิน
กาแฟซอง,6,ของกิน
ใบชา สามม้า เบอร์ 1,,ของกิน
ใบชา สามม้า เบอร์ 3,,ของกิน
นมสด คาเนชั่น 140 มล,20,ของกิน
นมสด คาเนชั่น 369 มล,30,ของกิน
นมสด คาเนชั่น 379 มล,32,ของกิน
นมสด ตราหมี,16,ของกิน
นมข้น คาเนชั่น,,ของกิน
นมข้้น มะลิ,30,ของกิน
นมข้น มะลิ(แบบบีบ),28,ของกิน
นมข้น คาเนชั่ั่น(แบบบีบ),25,ของกิน
เฮลบลูบอย แดง,70,ของกิน
เฮลบลูบอย เขียว,70,ของกิน
เนสกาแฟซองใหญ่,120,ของกิน
มอคโคน่า ซองใหญ่,120,ของกิน
เบอร์ดี้ ซองใหญ่,120,ของกิน
น้ำผึ้งขวดใหญ่,120,ของกิน
